Date,Players
9/10/2020,86
9/11/2020,173
9/12/2020,232
9/13/2020,237
9/14/2020,121
9/15/2020,138
9/16/2020,111
9/17/2020,127
9/18/2020,138
9/19/2020,138
9/20/2020,279
9/21/2020,142
9/22/2020,95
9/23/2020,158
9/24/2020,144
9/25/2020,36
9/26/2020,111
9/27/2020,133
9/28/2020,146
9/29/2020,96
9/30/2020,111
10/1/2020,127
10/2/2020,127
10/3/2020,161
10/4/2020,126
10/5/2020,141
10/6/2020,80
10/7/2020,90
10/8/2020,89
10/9/2020,70
10/10/2020,134
10/11/2020,123
10/12/2020,106
10/13/2020,104
10/14/2020,128
10/15/2020,125
10/16/2020,139
10/17/2020,179
10/18/2020,152
10/19/2020,123
10/20/2020,112
10/21/2020,127
10/22/2020,107
10/23/2020,123
10/24/2020,123
10/25/2020,118
10/26/2020,61
10/27/2020,98
10/28/2020,128
10/29/2020,94
10/30/2020,122
10/31/2020,134
11/1/2020,131
11/2/2020,100
11/3/2020,138
11/4/2020,147
11/5/2020,137
11/6/2020,143
11/7/2020,139
11/8/2020,164
11/9/2020,162
11/10/2020,116
11/11/2020,113
11/12/2020,177
11/13/2020,112
11/14/2020,115
11/15/2020,158
11/16/2020,181
11/17/2020,118
11/18/2020,139
11/19/2020,126
11/20/2020,118
11/21/2020,80
11/22/2020,152
11/23/2020,203
11/24/2020,199
11/25/2020,199
11/26/2020,153
11/27/2020,117
11/28/2020,296
11/29/2020,229
11/30/2020,210
12/1/2020,162
12/2/2020,262
12/3/2020,191
12/4/2020,191
12/5/2020,214
12/6/2020,242
12/7/2020,170
12/8/2020,130
12/9/2020,131
12/10/2020,135
12/11/2020,148
12/12/2020,120
12/13/2020,133
12/14/2020,173
12/15/2020,138
12/16/2020,123
12/17/2020,160
12/18/2020,119
12/19/2020,174
12/20/2020,105
12/21/2020,106
12/22/2020,148
12/23/2020,158
12/24/2020,126
12/25/2020,137
12/26/2020,124
12/27/2020,173
12/28/2020,177
12/29/2020,127
12/30/2020,144
12/31/2020,186
1/1/2021,123
1/2/2021,180
1/3/2021,208
1/4/2021,161
1/5/2021,156
1/6/2021,207
1/7/2021,181
1/8/2021,155
1/9/2021,162
1/10/2021,167
1/11/2021,162
1/12/2021,158
1/13/2021,154
1/14/2021,175
1/15/2021,190
1/16/2021,270
1/17/2021,226
1/18/2021,239
1/19/2021,173
1/20/2021,183
1/21/2021,149
1/22/2021,165
1/23/2021,210
1/24/2021,182
1/25/2021,199
1/26/2021,220
1/27/2021,194
1/28/2021,184
1/29/2021,221
1/30/2021,227
1/31/2021,206
2/1/2021,106
2/2/2021,99
2/3/2021,189
2/4/2021,171
2/5/2021,175
2/6/2021,260
2/7/2021,208
2/8/2021,165
2/9/2021,125
2/10/2021,109
2/11/2021,192
2/12/2021,154
2/13/2021,210
2/14/2021,188
2/15/2021,248
2/16/2021,235
2/17/2021,45
2/18/2021,0
2/19/2021,0
2/20/2021,130
2/21/2021,308
2/22/2021,214
2/23/2021,194
2/24/2021,178
2/25/2021,249
2/26/2021,174
2/27/2021,301
2/28/2021,270
3/1/2021,185
3/2/2021,228
3/3/2021,179
3/4/2021,140
3/5/2021,153
3/6/2021,192
3/7/2021,207
3/8/2021,160
3/9/2021,162
3/10/2021,139
3/11/2021,196
3/12/2021,202
3/13/2021,249
3/14/2021,279
3/15/2021,200
3/16/2021,200
3/17/2021,162
3/18/2021,192
3/19/2021,199
3/20/2021,181
3/21/2021,173
3/22/2021,115
3/23/2021,76
3/24/2021,146
3/25/2021,154
3/26/2021,152
3/27/2021,208
3/28/2021,141
3/29/2021,223
3/30/2021,233
3/31/2021,241
4/1/2021,232
4/2/2021,255
4/3/2021,196
4/4/2021,236
4/5/2021,166
4/6/2021,197
4/7/2021,210
4/8/2021,197
4/9/2021,179
4/10/2021,147
4/11/2021,87
4/12/2021,12
4/13/2021,2
