Date,Players
11/26/2020,1201
11/27/2020,1205
11/28/2020,1215
11/29/2020,1219
11/30/2020,1224
12/1/2020,1234
12/2/2020,1244
12/3/2020,1250
12/4/2020,1256
12/5/2020,1265
12/6/2020,1273
12/7/2020,1281
12/8/2020,1285
12/9/2020,1291
12/10/2020,1293
12/11/2020,1298
12/12/2020,1306
12/13/2020,1319
12/14/2020,1322
12/15/2020,1326
12/16/2020,1339
12/17/2020,1343
12/18/2020,1352
12/19/2020,1359
12/20/2020,1362
12/21/2020,1369
12/22/2020,1379
12/23/2020,1387
12/24/2020,1393
12/25/2020,1397
12/26/2020,1403
12/27/2020,1409
12/28/2020,1424
12/29/2020,1432
12/30/2020,1441
12/31/2020,1452
1/1/2021,1455
1/2/2021,1459
1/3/2021,1475
1/4/2021,1479
1/5/2021,1483
1/6/2021,1493
1/7/2021,1501
1/8/2021,1510
1/9/2021,1513
1/10/2021,1523
1/11/2021,1528
1/12/2021,1532
1/13/2021,1539
1/14/2021,1543
1/15/2021,1549
1/16/2021,1563
1/17/2021,1573
1/18/2021,1583
1/19/2021,1593
1/20/2021,1597
1/21/2021,1606
1/22/2021,1613
1/23/2021,1623
1/24/2021,1633
1/25/2021,1645
1/26/2021,1654
1/27/2021,1664
1/28/2021,1670
1/29/2021,1683
1/30/2021,1691
1/31/2021,1698
2/1/2021,1705
2/2/2021,1712
2/3/2021,1727
2/4/2021,1732
2/5/2021,1740
2/6/2021,1749
2/7/2021,1761
2/8/2021,1767
2/9/2021,1771
2/10/2021,1776
2/11/2021,1782
2/12/2021,1787
2/13/2021,1793
2/14/2021,1795
2/15/2021,1799
2/16/2021,1807
2/17/2021,1811
2/18/2021,1811
2/19/2021,1811
2/20/2021,1817
2/21/2021,1831
2/22/2021,1840
2/23/2021,1846
2/24/2021,1854
2/25/2021,1859
2/26/2021,1863
2/27/2021,1874
2/28/2021,1880
3/1/2021,1883
3/2/2021,1890
3/3/2021,1899
3/4/2021,1906
3/5/2021,1914
3/6/2021,1921
3/7/2021,1936
3/8/2021,1943
3/9/2021,1949
3/10/2021,1958
3/11/2021,1972
3/12/2021,1977
3/13/2021,1984
3/14/2021,1993
3/15/2021,1998
3/16/2021,2007
3/17/2021,2010
3/18/2021,2015
3/19/2021,2021
3/20/2021,2031
3/21/2021,2044
3/22/2021,2052
3/23/2021,2057
3/24/2021,2067
3/25/2021,2075
3/26/2021,2083
3/27/2021,2095
3/28/2021,2096
3/29/2021,2099
3/30/2021,2105
3/31/2021,2115
4/1/2021,2123
4/2/2021,2132
4/3/2021,2140
4/4/2021,2151
4/5/2021,2164
4/6/2021,2173
4/7/2021,2187
4/8/2021,2195
4/9/2021,2199
4/10/2021,2204
4/11/2021,2206
4/12/2021,2208
4/13/2021,2211
